TestID,WorkOrderNumber,ProductCode,TestDate,TestTime,TestType,TestParameter,SpecificationMin,SpecificationMax,ActualValue,Result,InspectorID,BatchLotNumber,SampleSize
QC20250820014,WO20250820141,PRINTER_CN586,2025-08-20,08:25:42,Final,Color Density,75.0,95.0,99.9,Fail,QC002,LOT20250820053,25
QC20250820015,WO20250820108,PRINTER_HP650,2025-08-20,16:01:24,In-Process,Print Quality,85.0,100.0,75.4,Fail,QC006,LOT20250820026,5
QC20250820016,WO20250820482,PRINTER_CN832,2025-08-20,12:50:11,Outgoing,Leak Test,1.0,1.0,0.0,Fail,QC005,LOT20250820058,15
QC20250820017,WO20250820123,PRINTER_BR968,2025-08-20,12:01:44,Final,Dimension Check,1.0,1.0,0.0,Fail,QC003,LOT20250820040,20
QC20250820018,WO20250820485,PRINTER_LX377,2025-08-20,14:43:49,Outgoing,Page Yield,450.0,500.0,412.0,Fail,QC005,LOT20250820064,10
QC20250820019,WO20250820186,PRINTER_EP260,2025-08-20,13:14:16,Final,Ink Volume,8.5,9.5,8.2,Fail,QC005,LOT20250820069,20
QC20250820020,WO20250820182,PRINTER_LX204,2025-08-20,12:32:12,Final,Weight Check,1.0,1.0,0.0,Fail,QC003,LOT20250820084,25
QC20250820021,WO20250820484,PRINTER_BR646,2025-08-20,10:54:26,Outgoing,Chip Function,1.0,1.0,1.0,Pass,QC003,LOT20250820067,15
QC20250820022,WO20250820124,PRINTER_CN031,2025-08-20,15:30:23,Outgoing,Print Quality,85.0,100.0,102.7,Fail,QC003,LOT20250820032,10
QC20250820023,WO20250820396,PRINTER_BR790,2025-08-20,17:35:13,Final,Page Yield,450.0,500.0,462.0,Pass,QC006,LOT20250820056,25
QC20250820024,WO20250820354,PRINTER_EP888,2025-08-20,16:02:22,Incoming,Page Yield,450.0,500.0,481.0,Pass,QC003,LOT20250820093,5
QC20250820025,WO20250820306,PRINTER_CN545,2025-08-20,12:25:29,In-Process,Print Quality,85.0,100.0,76.5,Fail,QC002,LOT20250820098,25
QC20250820026,WO20250820389,PRINTER_CN581,2025-08-20,08:44:29,Outgoing,Chip Function,1.0,1.0,1.0,Pass,QC005,LOT20250820041,15
QC20250820027,WO20250820326,PRINTER_EP683,2025-08-20,08:15:35,Incoming,Ink Volume,8.5,9.5,8.55,Pass,QC003,LOT20250820015,15
QC20250820028,WO20250820020,PRINTER_CN706,2025-08-20,08:19:21,Incoming,Color Density,75.0,95.0,98.8,Fail,QC002,LOT20250820044,10
QC20250820029,WO20250820453,PRINTER_HP143,2025-08-20,15:38:16,In-Process,Chip Function,1.0,1.0,1.0,Pass,QC003,LOT20250820025,5
QC20250820030,WO20250820409,PRINTER_HP115,2025-08-20,10:15:42,Final,Durability,1.0,1.0,0.0,Fail,QC002,LOT20250820052,15
QC20250820031,WO20250820095,PRINTER_BR837,2025-08-20,12:09:35,Outgoing,Leak Test,1.0,1.0,0.0,Fail,QC003,LOT20250820015,5
QC20250820032,WO20250820269,PRINTER_EP508,2025-08-20,11:33:12,Final,Temperature Resistance,1.0,1.0,1.0,Pass,QC001,LOT20250820034,20
QC20250820033,WO20250820021,PRINTER_LX844,2025-08-20,09:37:14,Final,Ink Volume,8.5,9.5,7.7,Fail,QC003,LOT20250820045,15
QC20250820034,WO20250820161,PRINTER_CN706,2025-08-20,15:44:02,Outgoing,Color Density,75.0,95.0,84.2,Pass,QC001,LOT20250820054,20
QC20250820035,WO20250820103,PRINTER_CN453,2025-08-20,12:24:06,In-Process,Ink Volume,8.5,9.5,9.17,Pass,QC003,LOT20250820055,10
QC20250820036,WO20250820390,PRINTER_BR264,2025-08-20,09:11:48,Outgoing,Print Quality,85.0,100.0,90.4,Pass,QC005,LOT20250820084,20
QC20250820037,WO20250820201,PRINTER_CN015,2025-08-20,17:39:59,Incoming,Leak Test,1.0,1.0,0.0,Fail,QC004,LOT20250820031,5
QC20250820038,WO20250820405,PRINTER_CN946,2025-08-20,17:38:21,Incoming,Leak Test,1.0,1.0,1.0,Pass,QC003,LOT20250820043,5
QC20250820039,WO20250820365,PRINTER_EP739,2025-08-20,17:52:37,In-Process,Color Density,75.0,95.0,97.4,Fail,QC004,LOT20250820057,10
QC20250820040,WO20250820347,PRINTER_HP971,2025-08-20,10:48:13,Final,Chip Function,1.0,1.0,0.0,Fail,QC003,LOT20250820012,15
QC20250820041,WO20250820333,PRINTER_CN059,2025-08-20,10:23:38,In-Process,Leak Test,1.0,1.0,1.0,Pass,QC006,LOT20250820019,25
QC20250820042,WO20250820090,PRINTER_CN110,2025-08-20,11:16:08,Outgoing,Temperature Resistance,1.0,1.0,1.0,Pass,QC004,LOT20250820024,25
QC20250820043,WO20250820313,PRINTER_HP113,2025-08-20,13:18:37,Incoming,Page Yield,450.0,500.0,466.0,Pass,QC001,LOT20250820067,10
QC20250820044,WO20250820332,PRINTER_EP255,2025-08-20,14:56:39,Final,Chip Function,1.0,1.0,0.0,Fail,QC006,LOT20250820084,10
QC20250820045,WO20250820341,PRINTER_LX496,2025-08-20,15:07:43,Incoming,Temperature Resistance,1.0,1.0,0.0,Fail,QC006,LOT20250820075,5
QC20250820046,WO20250820486,PRINTER_BR620,2025-08-20,10:24:57,Final,Ink Volume,8.5,9.5,9.77,Fail,QC002,LOT20250820066,5
QC20250820047,WO20250820432,PRINTER_BR145,2025-08-20,17:05:47,Incoming,Weight Check,1.0,1.0,1.0,Pass,QC005,LOT20250820020,10
QC20250820048,WO20250820051,PRINTER_LX564,2025-08-20,11:25:36,Incoming,Temperature Resistance,1.0,1.0,1.0,Pass,QC004,LOT20250820056,20
QC20250820049,WO20250820059,PRINTER_HP368,2025-08-20,10:36:32,Outgoing,Dimension Check,1.0,1.0,0.0,Fail,QC003,LOT20250820045,25
QC20250820050,WO20250820380,PRINTER_LX861,2025-08-20,09:23:55,In-Process,Print Quality,85.0,100.0,82.6,Fail,QC001,LOT20250820023,5
QC20250820051,WO20250820068,PRINTER_BR761,2025-08-20,16:15:35,Outgoing,Weight Check,1.0,1.0,0.0,Fail,QC006,LOT20250820040,15
QC20250820052,WO20250820451,PRINTER_HP175,2025-08-20,17:20:32,Outgoing,Dimension Check,1.0,1.0,1.0,Conditional Pass,QC006,LOT20250820100,5
QC20250820053,WO20250820140,PRINTER_HP620,2025-08-20,11:17:26,Outgoing,Temperature Resistance,1.0,1.0,1.0,Pass,QC005,LOT20250820092,10
QC20250820054,WO20250820123,PRINTER_BR555,2025-08-20,16:06:02,Incoming,Chip Function,1.0,1.0,0.0,Fail,QC001,LOT20250820007,15
QC20250820055,WO20250820052,PRINTER_CN251,2025-08-20,12:24:03,Incoming,Weight Check,1.0,1.0,1.0,Pass,QC001,LOT20250820013,10
QC20250820056,WO20250820275,PRINTER_LX174,2025-08-20,13:50:15,In-Process,Print Quality,85.0,100.0,98.1,Pass,QC006,LOT20250820094,5
QC20250820057,WO20250820452,PRINTER_BR536,2025-08-20,09:46:49,Outgoing,Chip Function,1.0,1.0,1.0,Pass,QC002,LOT20250820069,25
QC20250820058,WO20250820347,PRINTER_HP665,2025-08-20,15:15:47,Outgoing,Durability,1.0,1.0,0.0,Fail,QC005,LOT20250820076,15
QC20250820059,WO20250820332,PRINTER_BR439,2025-08-20,15:11:02,Incoming,Print Quality,85.0,100.0,85.6,Pass,QC006,LOT20250820092,5
QC20250820060,WO20250820400,PRINTER_HP990,2025-08-20,15:58:00,Outgoing,Ink Volume,8.5,9.5,8.58,Pass,QC003,LOT20250820004,25
QC20250820061,WO20250820430,PRINTER_LX329,2025-08-20,09:11:13,Outgoing,Print Quality,85.0,100.0,90.9,Pass,QC001,LOT20250820100,25
QC20250820062,WO20250820386,PRINTER_HP638,2025-08-20,12:51:41,Final,Temperature Resistance,1.0,1.0,1.0,Pass,QC004,LOT20250820078,20
QC20250820063,WO20250820073,PRINTER_LX405,2025-08-20,13:21:24,Incoming,Durability,1.0,1.0,0.0,Fail,QC004,LOT20250820011,10
QC20250820064,WO20250820225,PRINTER_BR752,2025-08-20,09:44:48,Outgoing,Color Density,75.0,95.0,95.4,Fail,QC003,LOT20250820052,5
QC20250820065,WO20250820069,PRINTER_BR784,2025-08-20,14:59:49,Outgoing,Weight Check,1.0,1.0,0.0,Fail,QC003,LOT20250820047,20
QC20250820066,WO20250820107,PRINTER_BR101,2025-08-20,11:34:54,Outgoing,Page Yield,450.0,500.0,411.0,Fail,QC002,LOT20250820028,15
QC20250820067,WO20250820342,PRINTER_BR985,2025-08-20,09:19:19,Outgoing,Leak Test,1.0,1.0,0.0,Fail,QC002,LOT20250820094,10
QC20250820068,WO20250820001,PRINTER_EP975,2025-08-20,09:04:51,Outgoing,Leak Test,1.0,1.0,0.0,Fail,QC002,LOT20250820081,5
QC20250820069,WO20250820192,PRINTER_CN303,2025-08-20,16:14:07,Outgoing,Weight Check,1.0,1.0,1.0,Pass,QC004,LOT20250820034,20
QC20250820070,WO20250820014,PRINTER_EP398,2025-08-20,13:24:34,Outgoing,Durability,1.0,1.0,1.0,Pass,QC002,LOT20250820049,25
QC20250820071,WO20250820287,PRINTER_CN004,2025-08-20,08:17:34,In-Process,Dimension Check,1.0,1.0,0.0,Fail,QC002,LOT20250820089,5
QC20250820072,WO20250820392,PRINTER_EP591,2025-08-20,10:47:09,Incoming,Color Density,75.0,95.0,84.5,Pass,QC003,LOT20250820077,10
QC20250820073,WO20250820144,PRINTER_HP045,2025-08-20,12:03:24,In-Process,Durability,1.0,1.0,0.0,Fail,QC004,LOT20250820022,10
QC20250820074,WO20250820263,PRINTER_CN288,2025-08-20,15:07:33,In-Process,Print Quality,85.0,100.0,77.6,Fail,QC006,LOT20250820075,20
QC20250820075,WO20250820334,PRINTER_HP869,2025-08-20,15:21:43,Outgoing,Weight Check,1.0,1.0,1.0,Pass,QC004,LOT20250820037,25
QC20250820076,WO20250820315,PRINTER_BR640,2025-08-20,17:03:20,In-Process,Color Density,75.0,95.0,73.2,Fail,QC003,LOT20250820070,20
QC20250820077,WO20250820405,PRINTER_EP428,2025-08-20,13:33:47,Incoming,Weight Check,1.0,1.0,0.0,Fail,QC001,LOT20250820056,5
QC20250820078,WO20250820253,PRINTER_CN648,2025-08-20,13:26:55,In-Process,Ink Volume,8.5,9.5,9.98,Fail,QC001,LOT20250820022,25
QC20250820079,WO20250820237,PRINTER_EP853,2025-08-20,13:28:52,In-Process,Leak Test,1.0,1.0,0.0,Fail,QC003,LOT20250820078,20
QC20250820080,WO20250820112,PRINTER_BR936,2025-08-20,16:32:04,Incoming,Durability,1.0,1.0,0.0,Fail,QC006,LOT20250820091,25
QC20250820081,WO20250820332,PRINTER_LX909,2025-08-20,17:03:25,In-Process,Print Quality,85.0,100.0,78.4,Fail,QC001,LOT20250820064,5
QC20250820082,WO20250820219,PRINTER_BR357,2025-08-20,11:50:43,In-Process,Ink Volume,8.5,9.5,8.47,Fail,QC006,LOT20250820025,20
QC20250820083,WO20250820472,PRINTER_HP822,2025-08-20,11:04:30,Final,Page Yield,450.0,500.0,548.0,Conditional Pass,QC001,LOT20250820040,25
QC20250820084,WO20250820428,PRINTER_HP249,2025-08-20,15:43:10,Final,Page Yield,450.0,500.0,495.0,Pass,QC003,LOT20250820065,10
QC20250820085,WO20250820175,PRINTER_BR926,2025-08-20,11:43:38,Incoming,Color Density,75.0,95.0,84.5,Pass,QC006,LOT20250820028,25
QC20250820086,WO20250820324,PRINTER_CN149,2025-08-20,13:49:57,Final,Ink Volume,8.5,9.5,8.59,Pass,QC005,LOT20250820090,10
QC20250820087,WO20250820166,PRINTER_LX902,2025-08-20,09:40:47,Final,Dimension Check,1.0,1.0,1.0,Pass,QC001,LOT20250820091,10
QC20250820088,WO20250820362,PRINTER_CN416,2025-08-20,08:07:44,Outgoing,Chip Function,1.0,1.0,1.0,Pass,QC001,LOT20250820027,25
QC20250820089,WO20250820129,PRINTER_EP240,2025-08-20,09:20:24,In-Process,Print Quality,85.0,100.0,93.1,Conditional Pass,QC004,LOT20250820077,20
QC20250820090,WO20250820267,PRINTER_EP794,2025-08-20,17:02:41,Outgoing,Page Yield,450.0,500.0,492.0,Pass,QC005,LOT20250820069,20
QC20250820091,WO20250820070,PRINTER_EP937,2025-08-20,08:35:47,In-Process,Ink Volume,8.5,9.5,8.65,Pass,QC002,LOT20250820043,5
QC20250820092,WO20250820215,PRINTER_BR521,2025-08-20,09:04:56,In-Process,Chip Function,1.0,1.0,1.0,Pass,QC004,LOT20250820058,5
QC20250820093,WO20250820245,PRINTER_CN124,2025-08-20,15:42:14,Final,Print Quality,85.0,100.0,96.2,Pass,QC002,LOT20250820084,10
QC20250820094,WO20250820331,PRINTER_CN753,2025-08-20,12:06:44,In-Process,Print Quality,85.0,100.0,87.4,Pass,QC002,LOT20250820094,10
QC20250820095,WO20250820223,PRINTER_EP316,2025-08-20,08:06:57,Incoming,Page Yield,450.0,500.0,474.0,Pass,QC003,LOT20250820098,25
QC20250820096,WO20250820447,PRINTER_EP160,2025-08-20,08:10:44,Final,Chip Function,1.0,1.0,1.0,Conditional Pass,QC005,LOT20250820040,20
QC20250820097,WO20250820211,PRINTER_EP719,2025-08-20,09:07:42,Outgoing,Ink Volume,8.5,9.5,9.95,Fail,QC003,LOT20250820002,25
QC20250820098,WO20250820411,PRINTER_LX292,2025-08-20,09:19:31,Final,Chip Function,1.0,1.0,0.0,Fail,QC004,LOT20250820005,15
QC20250820099,WO20250820160,PRINTER_CN308,2025-08-20,13:05:43,Incoming,Weight Check,1.0,1.0,0.0,Fail,QC001,LOT20250820086,5
QC20250820100,WO20250820014,PRINTER_CN326,2025-08-20,14:20:39,Final,Color Density,75.0,95.0,92.5,Pass,QC002,LOT20250820005,10
QC20250820101,WO20250820124,PRINTER_BR392,2025-08-20,14:27:37,Outgoing,Durability,1.0,1.0,0.0,Fail,QC005,LOT20250820045,10
QC20250820102,WO20250820119,PRINTER_LX393,2025-08-20,09:36:16,Incoming,Ink Volume,8.5,9.5,9.06,Pass,QC002,LOT20250820078,5
QC20250820103,WO20250820428,PRINTER_LX813,2025-08-20,11:50:50,Final,Color Density,75.0,95.0,78.4,Pass,QC002,LOT20250820038,5
QC20250820104,WO20250820194,PRINTER_BR690,2025-08-20,10:32:47,In-Process,Page Yield,450.0,500.0,504.0,Fail,QC003,LOT20250820087,25
QC20250820105,WO20250820276,PRINTER_LX236,2025-08-20,11:16:13,Outgoing,Temperature Resistance,1.0,1.0,0.0,Fail,QC006,LOT20250820068,20
QC20250820106,WO20250820224,PRINTER_LX261,2025-08-20,08:32:27,Final,Page Yield,450.0,500.0,444.0,Fail,QC006,LOT20250820072,10
QC20250820107,WO20250820197,PRINTER_LX968,2025-08-20,10:35:21,Final,Print Quality,85.0,100.0,88.5,Pass,QC001,LOT20250820074,15
QC20250820108,WO20250820084,PRINTER_LX649,2025-08-20,16:51:39,Final,Durability,1.0,1.0,1.0,Pass,QC004,LOT20250820081,5
QC20250820109,WO20250820128,PRINTER_LX438,2025-08-20,17:55:27,Final,Temperature Resistance,1.0,1.0,0.0,Fail,QC001,LOT20250820061,20
QC20250820110,WO20250820169,PRINTER_HP265,2025-08-20,15:07:51,In-Process,Print Quality,85.0,100.0,76.1,Fail,QC005,LOT20250820044,15
QC20250820111,WO20250820070,PRINTER_LX521,2025-08-20,15:13:59,Final,Page Yield,450.0,500.0,502.0,Fail,QC005,LOT20250820056,20
QC20250820112,WO20250820231,PRINTER_LX552,2025-08-20,17:37:16,Outgoing,Print Quality,85.0,100.0,87.3,Pass,QC006,LOT20250820083,5
QC20250820113,WO20250820447,PRINTER_BR599,2025-08-20,08:05:54,Final,Durability,1.0,1.0,1.0,Pass,QC001,LOT20250820004,10
QC20250820114,WO20250820409,PRINTER_LX267,2025-08-20,15:06:21,Outgoing,Dimension Check,1.0,1.0,1.0,Pass,QC006,LOT20250820042,5
QC20250820115,WO20250820335,PRINTER_EP079,2025-08-20,16:46:32,Outgoing,Print Quality,85.0,100.0,95.6,Pass,QC006,LOT20250820038,15
QC20250820116,WO20250820289,PRINTER_CN210,2025-08-20,12:44:13,Final,Durability,1.0,1.0,1.0,Pass,QC003,LOT20250820003,15
QC20250820117,WO20250820166,PRINTER_HP662,2025-08-20,13:50:26,Outgoing,Durability,1.0,1.0,0.0,Fail,QC003,LOT20250820006,10
QC20250820118,WO20250820423,PRINTER_EP923,2025-08-20,10:50:35,Outgoing,Ink Volume,8.5,9.5,8.68,Pass,QC005,LOT20250820022,15
QC20250820119,WO20250820411,PRINTER_BR128,2025-08-20,12:02:54,In-Process,Temperature Resistance,1.0,1.0,0.0,Fail,QC006,LOT20250820031,25
QC20250820120,WO20250820166,PRINTER_BR439,2025-08-20,10:48:24,Final,Weight Check,1.0,1.0,0.0,Fail,QC002,LOT20250820067,15
QC20250820121,WO20250820294,PRINTER_CN777,2025-08-20,14:55:35,Incoming,Leak Test,1.0,1.0,0.0,Fail,QC003,LOT20250820029,5
QC20250820122,WO20250820369,PRINTER_HP023,2025-08-20,09:54:48,In-Process,Dimension Check,1.0,1.0,1.0,Pass,QC001,LOT20250820079,10
QC20250820123,WO20250820001,PRINTER_EP659,2025-08-20,16:55:23,In-Process,Dimension Check,1.0,1.0,1.0,Pass,QC004,LOT20250820098,20
QC20250820124,WO20250820025,PRINTER_CN397,2025-08-20,13:26:09,Incoming,Chip Function,1.0,1.0,1.0,Pass,QC003,LOT20250820088,15
QC20250820125,WO20250820109,PRINTER_LX265,2025-08-20,14:32:49,Outgoing,Chip Function,1.0,1.0,0.0,Fail,QC001,LOT20250820087,10
QC20250820126,WO20250820101,PRINTER_CN380,2025-08-20,15:43:26,Incoming,Dimension Check,1.0,1.0,0.0,Fail,QC002,LOT20250820016,20
QC20250820127,WO20250820155,PRINTER_EP888,2025-08-20,13:29:29,Outgoing,Color Density,75.0,95.0,90.3,Pass,QC004,LOT20250820032,20
QC20250820128,WO20250820228,PRINTER_LX321,2025-08-20,08:32:39,Outgoing,Dimension Check,1.0,1.0,1.0,Pass,QC003,LOT20250820079,15
QC20250820129,WO20250820351,PRINTER_EP666,2025-08-20,11:18:53,Final,Color Density,75.0,95.0,87.6,Pass,QC004,LOT20250820096,20
QC20250820130,WO20250820404,PRINTER_EP900,2025-08-20,08:48:50,In-Process,Dimension Check,1.0,1.0,1.0,Pass,QC005,LOT20250820061,15
QC20250820131,WO20250820013,PRINTER_EP894,2025-08-20,10:01:55,Outgoing,Leak Test,1.0,1.0,1.0,Pass,QC003,LOT20250820077,20
QC20250820132,WO20250820180,PRINTER_CN306,2025-08-20,09:04:20,Outgoing,Chip Function,1.0,1.0,0.0,Fail,QC005,LOT20250820008,5
QC20250820133,WO20250820330,PRINTER_HP585,2025-08-20,12:47:02,Outgoing,Temperature Resistance,1.0,1.0,1.0,Pass,QC005,LOT20250820020,10
QC20250820134,WO20250820382,PRINTER_EP740,2025-08-20,12:21:15,Final,Leak Test,1.0,1.0,1.0,Pass,QC002,LOT20250820026,10
QC20250820135,WO20250820483,PRINTER_BR441,2025-08-20,08:40:43,Incoming,Print Quality,85.0,100.0,82.8,Conditional Pass,QC005,LOT20250820095,5
QC20250820136,WO20250820036,PRINTER_HP754,2025-08-20,11:52:19,Final,Leak Test,1.0,1.0,0.0,Fail,QC006,LOT20250820098,25
QC20250820137,WO20250820257,PRINTER_LX606,2025-08-20,14:53:20,Incoming,Ink Volume,8.5,9.5,8.87,Pass,QC003,LOT20250820065,10
QC20250820138,WO20250820384,PRINTER_BR807,2025-08-20,12:25:27,Incoming,Page Yield,450.0,500.0,478.0,Pass,QC004,LOT20250820012,25
QC20250820139,WO20250820330,PRINTER_BR524,2025-08-20,15:42:00,Final,Dimension Check,1.0,1.0,1.0,Pass,QC006,LOT20250820050,25
QC20250820140,WO20250820454,PRINTER_CN726,2025-08-20,17:01:47,Final,Color Density,75.0,95.0,81.1,Pass,QC005,LOT20250820076,15
QC20250820141,WO20250820009,PRINTER_LX658,2025-08-20,17:04:17,In-Process,Chip Function,1.0,1.0,0.0,Conditional Pass,QC002,LOT20250820074,10
QC20250820142,WO20250820255,PRINTER_BR931,2025-08-20,12:54:01,Final,Page Yield,450.0,500.0,523.0,Fail,QC005,LOT20250820069,20
QC20250820143,WO20250820090,PRINTER_CN069,2025-08-20,12:03:22,Incoming,Chip Function,1.0,1.0,0.0,Fail,QC004,LOT20250820005,15
QC20250820144,WO20250820249,PRINTER_EP462,2025-08-20,11:13:35,Incoming,Page Yield,450.0,500.0,516.0,Fail,QC005,LOT20250820044,10
QC20250820145,WO20250820134,PRINTER_BR307,2025-08-20,12:52:08,Incoming,Chip Function,1.0,1.0,1.0,Pass,QC003,LOT20250820014,5
QC20250820146,WO20250820477,PRINTER_CN939,2025-08-20,11:50:32,Outgoing,Chip Function,1.0,1.0,1.0,Pass,QC005,LOT20250820096,20
QC20250820147,WO20250820212,PRINTER_EP948,2025-08-20,15:30:19,Incoming,Chip Function,1.0,1.0,0.0,Fail,QC003,LOT20250820010,25
QC20250820148,WO20250820346,PRINTER_CN009,2025-08-20,10:22:32,Final,Chip Function,1.0,1.0,1.0,Pass,QC004,LOT20250820099,15
QC20250820149,WO20250820274,PRINTER_HP358,2025-08-20,11:39:59,Final,Color Density,75.0,95.0,90.8,Pass,QC005,LOT20250820042,15
QC20250820150,WO20250820449,PRINTER_LX827,2025-08-20,17:03:51,Final,Ink Volume,8.5,9.5,9.79,Fail,QC005,LOT20250820049,15
QC20250820151,WO20250820185,PRINTER_LX860,2025-08-20,09:24:29,Final,Durability,1.0,1.0,0.0,Fail,QC002,LOT20250820013,25
QC20250820152,WO20250820113,PRINTER_EP546,2025-08-20,17:05:35,Incoming,Print Quality,85.0,100.0,104.8,Fail,QC001,LOT20250820034,20
QC20250820153,WO20250820097,PRINTER_EP131,2025-08-20,17:52:11,Final,Color Density,75.0,95.0,73.1,Fail,QC003,LOT20250820074,20
QC20250820154,WO20250820382,PRINTER_CN782,2025-08-20,08:53:37,Incoming,Color Density,75.0,95.0,71.9,Fail,QC004,LOT20250820025,15
QC20250820155,WO20250820047,PRINTER_HP303,2025-08-20,14:05:12,In-Process,Ink Volume,8.5,9.5,8.33,Fail,QC003,LOT20250820026,5
QC20250820156,WO20250820488,PRINTER_HP329,2025-08-20,11:02:12,Incoming,Page Yield,450.0,500.0,475.0,Conditional Pass,QC004,LOT20250820069,5
QC20250820157,WO20250820344,PRINTER_HP916,2025-08-20,08:39:56,Outgoing,Temperature Resistance,1.0,1.0,1.0,Pass,QC003,LOT20250820041,20
QC20250820158,WO20250820209,PRINTER_BR244,2025-08-20,12:20:56,Final,Ink Volume,8.5,9.5,9.46,Pass,QC002,LOT20250820077,25
QC20250820159,WO20250820051,PRINTER_CN417,2025-08-20,17:54:57,Final,Temperature Resistance,1.0,1.0,0.0,Fail,QC003,LOT20250820088,5
QC20250820160,WO20250820479,PRINTER_LX940,2025-08-20,09:01:26,Incoming,Leak Test,1.0,1.0,1.0,Pass,QC001,LOT20250820003,5
QC20250820161,WO20250820459,PRINTER_LX652,2025-08-20,10:10:42,Final,Color Density,75.0,95.0,94.0,Pass,QC005,LOT20250820019,20
QC20250820162,WO20250820423,PRINTER_LX948,2025-08-20,10:09:43,Incoming,Dimension Check,1.0,1.0,1.0,Pass,QC004,LOT20250820022,20
QC20250820163,WO20250820428,PRINTER_LX583,2025-08-20,14:09:01,In-Process,Page Yield,450.0,500.0,527.0,Fail,QC006,LOT20250820012,5
QC20250820164,WO20250820006,PRINTER_EP583,2025-08-20,11:08:42,Final,Dimension Check,1.0,1.0,0.0,Fail,QC005,LOT20250820081,20
QC20250820165,WO20250820026,PRINTER_CN162,2025-08-20,10:01:02,Outgoing,Page Yield,450.0,500.0,543.0,Fail,QC004,LOT20250820095,10
QC20250820166,WO20250820131,PRINTER_CN570,2025-08-20,15:07:09,Final,Ink Volume,8.5,9.5,8.24,Fail,QC006,LOT20250820006,15
QC20250820167,WO20250820347,PRINTER_LX906,2025-08-20,08:45:59,In-Process,Weight Check,1.0,1.0,1.0,Conditional Pass,QC004,LOT20250820006,15
QC20250820168,WO20250820283,PRINTER_HP178,2025-08-20,10:16:00,Outgoing,Temperature Resistance,1.0,1.0,1.0,Pass,QC003,LOT20250820058,20
QC20250820169,WO20250820355,PRINTER_LX990,2025-08-20,13:02:45,Incoming,Page Yield,450.0,500.0,421.0,Fail,QC006,LOT20250820075,25
QC20250820170,WO20250820170,PRINTER_BR402,2025-08-20,12:13:02,Incoming,Leak Test,1.0,1.0,1.0,Pass,QC003,LOT20250820056,10
QC20250820171,WO20250820113,PRINTER_LX573,2025-08-20,15:33:32,Outgoing,Leak Test,1.0,1.0,1.0,Pass,QC005,LOT20250820080,10
QC20250820172,WO20250820038,PRINTER_CN399,2025-08-20,08:26:41,In-Process,Color Density,75.0,95.0,95.3,Conditional Pass,QC001,LOT20250820013,10
QC20250820173,WO20250820285,PRINTER_BR010,2025-08-20,12:30:53,Final,Dimension Check,1.0,1.0,0.0,Fail,QC005,LOT20250820002,10
QC20250820174,WO20250820261,PRINTER_HP213,2025-08-20,13:07:48,Final,Weight Check,1.0,1.0,1.0,Pass,QC005,LOT20250820022,25
QC20250820175,WO20250820149,PRINTER_EP076,2025-08-20,17:45:48,Incoming,Page Yield,450.0,500.0,517.0,Fail,QC006,LOT20250820007,15
QC20250820176,WO20250820120,PRINTER_EP452,2025-08-20,10:35:15,Final,Ink Volume,8.5,9.5,9.89,Fail,QC002,LOT20250820082,5
QC20250820177,WO20250820420,PRINTER_LX340,2025-08-20,11:08:42,Outgoing,Dimension Check,1.0,1.0,0.0,Fail,QC003,LOT20250820066,25
