WorkOrderNumber,ProductCode,ProductName,ScheduledDate,ScheduledQuantity,Priority,WorkCenter,EstimatedHours,Status,SupervisorCode
WO20250820035,PRINTER_CN201,Printer Cn Compatible Cartridge 201,2025-08-28,1055,Urgent,WC005,13.9,In Progress,SUP004
WO20250820036,PRINTER_LX829,Printer Lx Compatible Cartridge 829,2025-09-14,443,Low,WC010,5.1,Scheduled,SUP002
WO20250820037,PRINTER_HP830,Printer Hp Compatible Cartridge 830,2025-08-24,1879,Low,WC006,38.1,Cancelled,SUP005
WO20250820038,PRINTER_HP349,Printer Hp Compatible Cartridge 349,2025-08-25,1447,Urgent,WC004,40.6,Cancelled,SUP004
WO20250820039,PRINTER_LX361,Printer Lx Compatible Cartridge 361,2025-08-31,1316,Normal,WC002,23.3,On Hold,SUP001
WO20250820040,PRINTER_LX081,Printer Lx Compatible Cartridge 081,2025-08-24,1652,High,WC002,9.2,In Progress,SUP001
WO20250820041,PRINTER_LX554,Printer Lx Compatible Cartridge 554,2025-08-30,96,Normal,WC005,44.6,Completed,SUP004
WO20250820042,PRINTER_EP070,Printer Ep Compatible Cartridge 070,2025-09-16,1834,Normal,WC005,7.3,Cancelled,SUP002
WO20250820043,PRINTER_LX955,Printer Lx Compatible Cartridge 955,2025-09-08,1074,High,WC007,31.2,Cancelled,SUP001
WO20250820044,PRINTER_LX483,Printer Lx Compatible Cartridge 483,2025-09-18,1928,High,WC001,5.4,On Hold,SUP003
WO20250820045,PRINTER_CN343,Printer Cn Compatible Cartridge 343,2025-09-17,1616,Low,WC003,13.0,Completed,SUP001
WO20250820046,PRINTER_CN506,Printer Cn Compatible Cartridge 506,2025-08-22,1699,Low,WC006,47.2,On Hold,SUP005
WO20250820047,PRINTER_LX952,Printer Lx Compatible Cartridge 952,2025-08-22,1867,Urgent,WC003,15.9,Scheduled,SUP001
WO20250820048,PRINTER_HP509,Printer Hp Compatible Cartridge 509,2025-09-05,511,High,WC007,25.0,In Progress,SUP001
WO20250820049,PRINTER_HP027,Printer Hp Compatible Cartridge 027,2025-09-13,1651,Normal,WC009,30.8,On Hold,SUP001
WO20250820050,PRINTER_LX494,Printer Lx Compatible Cartridge 494,2025-08-21,842,Urgent,WC003,22.9,On Hold,SUP005
WO20250820051,PRINTER_CN119,Printer Cn Compatible Cartridge 119,2025-09-03,291,High,WC006,12.5,On Hold,SUP001
WO20250820052,PRINTER_CN238,Printer Cn Compatible Cartridge 238,2025-08-22,1255,Low,WC004,22.2,Cancelled,SUP005
WO20250820053,PRINTER_HP822,Printer Hp Compatible Cartridge 822,2025-08-20,1838,Normal,WC001,7.4,In Progress,SUP004
WO20250820054,PRINTER_CN290,Printer Cn Compatible Cartridge 290,2025-08-21,693,High,WC010,32.8,In Progress,SUP003
WO20250820055,PRINTER_CN621,Printer Cn Compatible Cartridge 621,2025-09-01,1030,Low,WC002,7.4,Cancelled,SUP002
WO20250820056,PRINTER_BR723,Printer Br Compatible Cartridge 723,2025-09-12,1715,High,WC004,23.5,Completed,SUP003
WO20250820057,PRINTER_LX300,Printer Lx Compatible Cartridge 300,2025-09-16,1388,Normal,WC009,43.3,Completed,SUP005
WO20250820058,PRINTER_LX107,Printer Lx Compatible Cartridge 107,2025-08-21,759,Urgent,WC010,25.4,Scheduled,SUP002
WO20250820059,PRINTER_CN862,Printer Cn Compatible Cartridge 862,2025-09-05,522,High,WC009,13.3,Completed,SUP002
WO20250820060,PRINTER_HP241,Printer Hp Compatible Cartridge 241,2025-09-11,951,Urgent,WC002,4.9,Scheduled,SUP003
WO20250820061,PRINTER_EP603,Printer Ep Compatible Cartridge 603,2025-09-01,665,Low,WC001,16.3,Cancelled,SUP004
WO20250820062,PRINTER_BR020,Printer Br Compatible Cartridge 020,2025-09-16,833,Urgent,WC008,6.0,In Progress,SUP004
WO20250820063,PRINTER_CN676,Printer Cn Compatible Cartridge 676,2025-09-02,1140,Low,WC005,5.4,Completed,SUP001
WO20250820064,PRINTER_LX773,Printer Lx Compatible Cartridge 773,2025-09-17,738,High,WC010,13.5,Scheduled,SUP003
WO20250820065,PRINTER_LX445,Printer Lx Compatible Cartridge 445,2025-09-16,925,Low,WC002,28.3,Completed,SUP005
WO20250820066,PRINTER_BR435,Printer Br Compatible Cartridge 435,2025-09-07,1522,High,WC003,46.3,On Hold,SUP002
WO20250820067,PRINTER_CN930,Printer Cn Compatible Cartridge 930,2025-08-20,624,High,WC002,47.9,Cancelled,SUP003
WO20250820068,PRINTER_EP585,Printer Ep Compatible Cartridge 585,2025-09-01,129,High,WC006,15.8,Completed,SUP005
WO20250820069,PRINTER_HP128,Printer Hp Compatible Cartridge 128,2025-08-29,1214,High,WC005,41.3,On Hold,SUP004
WO20250820070,PRINTER_HP451,Printer Hp Compatible Cartridge 451,2025-08-20,1005,Low,WC006,25.1,Cancelled,SUP002
WO20250820071,PRINTER_BR060,Printer Br Compatible Cartridge 060,2025-09-07,1972,Low,WC005,43.5,Cancelled,SUP003
WO20250820072,PRINTER_HP452,Printer Hp Compatible Cartridge 452,2025-08-25,578,High,WC005,42.2,In Progress,SUP002
WO20250820073,PRINTER_CN151,Printer Cn Compatible Cartridge 151,2025-09-16,1315,Low,WC004,9.0,Scheduled,SUP002
WO20250820074,PRINTER_LX882,Printer Lx Compatible Cartridge 882,2025-09-03,1237,High,WC001,28.3,In Progress,SUP001
WO20250820075,PRINTER_EP999,Printer Ep Compatible Cartridge 999,2025-08-28,83,High,WC009,35.6,Cancelled,SUP002
WO20250820076,PRINTER_EP112,Printer Ep Compatible Cartridge 112,2025-08-22,1088,Urgent,WC002,26.5,In Progress,SUP002
WO20250820077,PRINTER_EP585,Printer Ep Compatible Cartridge 585,2025-08-31,1748,Urgent,WC002,32.2,Completed,SUP002
WO20250820078,PRINTER_HP335,Printer Hp Compatible Cartridge 335,2025-09-08,1664,High,WC006,46.9,Completed,SUP004
WO20250820079,PRINTER_EP637,Printer Ep Compatible Cartridge 637,2025-08-20,378,High,WC001,16.8,In Progress,SUP005
WO20250820080,PRINTER_HP109,Printer Hp Compatible Cartridge 109,2025-09-08,483,High,WC009,35.5,Cancelled,SUP005
WO20250820081,PRINTER_EP963,Printer Ep Compatible Cartridge 963,2025-08-26,825,Low,WC003,20.8,Scheduled,SUP001
WO20250820082,PRINTER_CN579,Printer Cn Compatible Cartridge 579,2025-09-05,1226,Urgent,WC009,36.3,Cancelled,SUP001
WO20250820083,PRINTER_LX484,Printer Lx Compatible Cartridge 484,2025-09-10,1124,Urgent,WC006,15.8,Cancelled,SUP003
WO20250820084,PRINTER_CN337,Printer Cn Compatible Cartridge 337,2025-08-27,1686,High,WC004,24.1,Scheduled,SUP002
WO20250820085,PRINTER_BR751,Printer Br Compatible Cartridge 751,2025-09-19,1852,Urgent,WC006,7.5,Cancelled,SUP005
WO20250820086,PRINTER_HP937,Printer Hp Compatible Cartridge 937,2025-08-31,1388,Urgent,WC010,14.1,On Hold,SUP002
WO20250820087,PRINTER_LX848,Printer Lx Compatible Cartridge 848,2025-09-15,306,Normal,WC007,33.7,In Progress,SUP005
WO20250820088,PRINTER_EP815,Printer Ep Compatible Cartridge 815,2025-08-29,749,High,WC002,7.6,On Hold,SUP005
WO20250820089,PRINTER_CN590,Printer Cn Compatible Cartridge 590,2025-09-04,1345,Normal,WC003,42.6,Scheduled,SUP002
WO20250820090,PRINTER_HP429,Printer Hp Compatible Cartridge 429,2025-08-28,1617,Urgent,WC002,9.6,Scheduled,SUP004
WO20250820091,PRINTER_HP707,Printer Hp Compatible Cartridge 707,2025-08-25,199,Normal,WC009,42.1,On Hold,SUP004
WO20250820092,PRINTER_EP131,Printer Ep Compatible Cartridge 131,2025-09-01,1477,Normal,WC005,9.2,Completed,SUP005
WO20250820093,PRINTER_LX632,Printer Lx Compatible Cartridge 632,2025-08-23,1529,Low,WC002,36.5,Completed,SUP004
WO20250820094,PRINTER_BR646,Printer Br Compatible Cartridge 646,2025-09-03,1566,Urgent,WC005,37.3,In Progress,SUP002
WO20250820095,PRINTER_LX939,Printer Lx Compatible Cartridge 939,2025-09-15,1968,Low,WC003,43.4,Cancelled,SUP005
WO20250820096,PRINTER_EP691,Printer Ep Compatible Cartridge 691,2025-09-09,978,Urgent,WC006,23.3,Cancelled,SUP005
WO20250820097,PRINTER_EP968,Printer Ep Compatible Cartridge 968,2025-09-13,248,Normal,WC005,25.7,Scheduled,SUP005
WO20250820098,PRINTER_LX919,Printer Lx Compatible Cartridge 919,2025-09-05,1237,Urgent,WC005,18.2,Completed,SUP002
WO20250820099,PRINTER_CN043,Printer Cn Compatible Cartridge 043,2025-09-15,1985,Normal,WC007,26.8,Cancelled,SUP005
WO20250820100,PRINTER_EP102,Printer Ep Compatible Cartridge 102,2025-08-31,633,Normal,WC002,16.7,On Hold,SUP004
WO20250820101,PRINTER_CN907,Printer Cn Compatible Cartridge 907,2025-08-25,640,High,WC010,37.2,In Progress,SUP003
WO20250820102,PRINTER_CN099,Printer Cn Compatible Cartridge 099,2025-08-26,1180,Normal,WC001,30.3,Scheduled,SUP005
WO20250820103,PRINTER_LX819,Printer Lx Compatible Cartridge 819,2025-08-26,63,Urgent,WC001,20.3,Completed,SUP005
WO20250820104,PRINTER_BR750,Printer Br Compatible Cartridge 750,2025-09-03,1116,Normal,WC008,17.0,Scheduled,SUP001
WO20250820105,PRINTER_BR911,Printer Br Compatible Cartridge 911,2025-09-02,1060,High,WC002,42.0,Completed,SUP001
WO20250820106,PRINTER_EP823,Printer Ep Compatible Cartridge 823,2025-08-22,1574,Normal,WC002,18.4,Cancelled,SUP003
WO20250820107,PRINTER_EP465,Printer Ep Compatible Cartridge 465,2025-09-09,1556,Low,WC006,43.3,Scheduled,SUP004
WO20250820108,PRINTER_HP955,Printer Hp Compatible Cartridge 955,2025-09-11,1676,High,WC004,41.0,Scheduled,SUP001
WO20250820109,PRINTER_CN141,Printer Cn Compatible Cartridge 141,2025-09-07,820,Normal,WC004,15.7,In Progress,SUP004
WO20250820110,PRINTER_CN752,Printer Cn Compatible Cartridge 752,2025-09-04,628,Normal,WC004,31.9,Scheduled,SUP005
WO20250820111,PRINTER_CN004,Printer Cn Compatible Cartridge 004,2025-09-02,187,Urgent,WC009,30.9,In Progress,SUP001
WO20250820112,PRINTER_BR705,Printer Br Compatible Cartridge 705,2025-08-28,1306,Urgent,WC010,14.3,Completed,SUP004
WO20250820113,PRINTER_LX673,Printer Lx Compatible Cartridge 673,2025-09-19,418,High,WC004,42.5,On Hold,SUP004
WO20250820114,PRINTER_BR613,Printer Br Compatible Cartridge 613,2025-08-31,1162,Urgent,WC005,8.2,Scheduled,SUP003
WO20250820115,PRINTER_BR993,Printer Br Compatible Cartridge 993,2025-09-03,716,Normal,WC007,9.1,On Hold,SUP003
WO20250820116,PRINTER_HP356,Printer Hp Compatible Cartridge 356,2025-09-11,865,Normal,WC008,41.0,On Hold,SUP005
WO20250820117,PRINTER_BR704,Printer Br Compatible Cartridge 704,2025-08-27,109,High,WC005,26.3,On Hold,SUP001
WO20250820118,PRINTER_LX791,Printer Lx Compatible Cartridge 791,2025-08-30,585,High,WC007,21.2,On Hold,SUP004
WO20250820119,PRINTER_BR267,Printer Br Compatible Cartridge 267,2025-09-18,161,High,WC008,36.0,Completed,SUP001
WO20250820120,PRINTER_EP459,Printer Ep Compatible Cartridge 459,2025-09-02,503,Normal,WC009,13.1,Scheduled,SUP005
WO20250820121,PRINTER_LX338,Printer Lx Compatible Cartridge 338,2025-08-24,1288,Low,WC001,39.3,Scheduled,SUP003
WO20250820122,PRINTER_EP786,Printer Ep Compatible Cartridge 786,2025-09-13,1182,Low,WC001,26.8,Completed,SUP005
WO20250820123,PRINTER_CN161,Printer Cn Compatible Cartridge 161,2025-09-15,1147,Urgent,WC004,16.8,In Progress,SUP003
WO20250820124,PRINTER_EP424,Printer Ep Compatible Cartridge 424,2025-08-26,1182,Normal,WC001,5.6,Scheduled,SUP005
WO20250820125,PRINTER_HP514,Printer Hp Compatible Cartridge 514,2025-09-01,1670,Urgent,WC001,10.9,Completed,SUP001
WO20250820126,PRINTER_CN647,Printer Cn Compatible Cartridge 647,2025-09-13,1459,Normal,WC001,16.0,Scheduled,SUP004
WO20250820127,PRINTER_BR135,Printer Br Compatible Cartridge 135,2025-09-15,1566,High,WC002,7.4,Cancelled,SUP004
WO20250820128,PRINTER_HP016,Printer Hp Compatible Cartridge 016,2025-09-12,1750,Normal,WC002,36.4,On Hold,SUP002
WO20250820129,PRINTER_LX880,Printer Lx Compatible Cartridge 880,2025-08-29,1657,High,WC007,26.5,Scheduled,SUP003
WO20250820130,PRINTER_EP470,Printer Ep Compatible Cartridge 470,2025-08-26,254,High,WC010,24.7,Completed,SUP004
WO20250820131,PRINTER_HP228,Printer Hp Compatible Cartridge 228,2025-09-19,882,High,WC008,16.5,Cancelled,SUP005
WO20250820132,PRINTER_CN392,Printer Cn Compatible Cartridge 392,2025-08-20,1067,Urgent,WC006,37.6,Scheduled,SUP004
WO20250820133,PRINTER_CN592,Printer Cn Compatible Cartridge 592,2025-08-20,863,Normal,WC008,20.3,Cancelled,SUP001
WO20250820134,PRINTER_EP341,Printer Ep Compatible Cartridge 341,2025-08-24,1708,Low,WC002,28.7,In Progress,SUP004
WO20250820135,PRINTER_LX256,Printer Lx Compatible Cartridge 256,2025-08-22,339,Urgent,WC010,40.9,Cancelled,SUP005
WO20250820136,PRINTER_CN061,Printer Cn Compatible Cartridge 061,2025-09-13,1060,High,WC007,17.7,Completed,SUP002
WO20250820137,PRINTER_HP330,Printer Hp Compatible Cartridge 330,2025-09-11,1207,Urgent,WC001,15.8,In Progress,SUP005
WO20250820138,PRINTER_BR559,Printer Br Compatible Cartridge 559,2025-09-04,691,Normal,WC006,24.3,On Hold,SUP005
WO20250820139,PRINTER_LX880,Printer Lx Compatible Cartridge 880,2025-09-12,1551,Low,WC002,22.7,Scheduled,SUP004
WO20250820140,PRINTER_CN776,Printer Cn Compatible Cartridge 776,2025-08-20,381,Low,WC003,12.7,Scheduled,SUP001
WO20250820141,PRINTER_BR508,Printer Br Compatible Cartridge 508,2025-08-25,1332,Urgent,WC003,37.0,Cancelled,SUP004
WO20250820142,PRINTER_BR010,Printer Br Compatible Cartridge 010,2025-08-29,290,Urgent,WC005,35.7,Completed,SUP005
WO20250820143,PRINTER_EP630,Printer Ep Compatible Cartridge 630,2025-09-17,811,Normal,WC003,16.8,In Progress,SUP005
WO20250820144,PRINTER_EP532,Printer Ep Compatible Cartridge 532,2025-09-08,564,Urgent,WC008,13.3,Completed,SUP002
WO20250820145,PRINTER_CN537,Printer Cn Compatible Cartridge 537,2025-09-11,1748,Urgent,WC001,18.0,In Progress,SUP002
WO20250820146,PRINTER_BR069,Printer Br Compatible Cartridge 069,2025-08-20,688,Normal,WC004,34.5,Cancelled,SUP004
WO20250820147,PRINTER_EP097,Printer Ep Compatible Cartridge 097,2025-08-21,1329,Urgent,WC010,10.9,Completed,SUP005
WO20250820148,PRINTER_CN354,Printer Cn Compatible Cartridge 354,2025-09-09,78,Normal,WC005,16.5,On Hold,SUP005
WO20250820149,PRINTER_EP377,Printer Ep Compatible Cartridge 377,2025-09-08,1620,Urgent,WC005,28.7,In Progress,SUP001
WO20250820150,PRINTER_LX157,Printer Lx Compatible Cartridge 157,2025-08-23,1546,Normal,WC005,11.8,Cancelled,SUP001
WO20250820151,PRINTER_CN817,Printer Cn Compatible Cartridge 817,2025-09-05,1252,Urgent,WC006,29.3,Cancelled,SUP005
WO20250820152,PRINTER_EP990,Printer Ep Compatible Cartridge 990,2025-09-14,1559,Urgent,WC004,11.4,In Progress,SUP002
WO20250820153,PRINTER_HP952,Printer Hp Compatible Cartridge 952,2025-09-14,1309,Normal,WC003,11.3,Scheduled,SUP003
WO20250820154,PRINTER_HP918,Printer Hp Compatible Cartridge 918,2025-08-21,330,Urgent,WC007,33.3,Completed,SUP003
WO20250820155,PRINTER_LX779,Printer Lx Compatible Cartridge 779,2025-08-23,543,Urgent,WC007,38.1,On Hold,SUP003
WO20250820156,PRINTER_EP859,Printer Ep Compatible Cartridge 859,2025-09-05,699,Low,WC010,41.1,In Progress,SUP003
WO20250820157,PRINTER_CN861,Printer Cn Compatible Cartridge 861,2025-09-02,1197,Urgent,WC008,34.6,Completed,SUP001
WO20250820158,PRINTER_LX922,Printer Lx Compatible Cartridge 922,2025-09-02,1385,High,WC003,5.1,Completed,SUP004
WO20250820159,PRINTER_EP746,Printer Ep Compatible Cartridge 746,2025-09-02,487,Normal,WC007,20.5,Scheduled,SUP002
WO20250820160,PRINTER_BR370,Printer Br Compatible Cartridge 370,2025-09-05,449,Low,WC010,17.7,Scheduled,SUP003
WO20250820161,PRINTER_EP515,Printer Ep Compatible Cartridge 515,2025-09-18,76,High,WC001,32.5,On Hold,SUP004
WO20250820162,PRINTER_HP713,Printer Hp Compatible Cartridge 713,2025-09-11,568,High,WC001,46.7,Scheduled,SUP004
WO20250820163,PRINTER_LX648,Printer Lx Compatible Cartridge 648,2025-09-03,1054,Normal,WC008,37.0,Cancelled,SUP001
WO20250820164,PRINTER_HP379,Printer Hp Compatible Cartridge 379,2025-08-20,1305,Normal,WC003,42.3,In Progress,SUP001
WO20250820165,PRINTER_BR855,Printer Br Compatible Cartridge 855,2025-09-16,294,Low,WC008,32.0,Scheduled,SUP003
WO20250820166,PRINTER_HP879,Printer Hp Compatible Cartridge 879,2025-09-06,618,Normal,WC010,36.4,Completed,SUP003
WO20250820167,PRINTER_CN928,Printer Cn Compatible Cartridge 928,2025-09-07,1528,High,WC009,4.6,On Hold,SUP004
WO20250820168,PRINTER_HP067,Printer Hp Compatible Cartridge 067,2025-08-26,1739,Normal,WC005,7.7,On Hold,SUP001
WO20250820169,PRINTER_EP624,Printer Ep Compatible Cartridge 624,2025-08-26,1460,Urgent,WC003,32.0,Scheduled,SUP003
WO20250820170,PRINTER_EP575,Printer Ep Compatible Cartridge 575,2025-08-31,291,High,WC008,29.0,Scheduled,SUP005
WO20250820171,PRINTER_BR091,Printer Br Compatible Cartridge 091,2025-08-23,1930,Low,WC003,36.1,In Progress,SUP003
WO20250820172,PRINTER_LX642,Printer Lx Compatible Cartridge 642,2025-09-19,91,Normal,WC001,13.6,Completed,SUP004
WO20250820173,PRINTER_HP899,Printer Hp Compatible Cartridge 899,2025-09-12,1981,Normal,WC005,40.8,In Progress,SUP002
WO20250820174,PRINTER_EP055,Printer Ep Compatible Cartridge 055,2025-09-01,1495,High,WC003,16.3,Cancelled,SUP003
WO20250820175,PRINTER_BR232,Printer Br Compatible Cartridge 232,2025-09-15,435,High,WC004,11.8,Completed,SUP003
WO20250820176,PRINTER_BR271,Printer Br Compatible Cartridge 271,2025-08-22,1053,High,WC010,20.0,Cancelled,SUP004
WO20250820177,PRINTER_CN038,Printer Cn Compatible Cartridge 038,2025-09-19,1759,Urgent,WC003,27.7,In Progress,SUP004
WO20250820178,PRINTER_EP662,Printer Ep Compatible Cartridge 662,2025-09-14,1446,High,WC004,19.1,Cancelled,SUP005
WO20250820179,PRINTER_EP093,Printer Ep Compatible Cartridge 093,2025-09-05,1633,Normal,WC005,13.6,Completed,SUP001
WO20250820180,PRINTER_HP530,Printer Hp Compatible Cartridge 530,2025-09-10,1342,Normal,WC008,10.2,Cancelled,SUP003
WO20250820181,PRINTER_EP578,Printer Ep Compatible Cartridge 578,2025-09-01,1398,Low,WC006,34.9,Completed,SUP001
WO20250820182,PRINTER_CN432,Printer Cn Compatible Cartridge 432,2025-09-04,735,High,WC002,12.2,Completed,SUP003
WO20250820183,PRINTER_CN479,Printer Cn Compatible Cartridge 479,2025-09-06,431,Low,WC008,39.6,On Hold,SUP005
WO20250820184,PRINTER_LX712,Printer Lx Compatible Cartridge 712,2025-09-02,1546,Urgent,WC008,40.7,Completed,SUP003
WO20250820185,PRINTER_LX346,Printer Lx Compatible Cartridge 346,2025-09-04,1439,Urgent,WC005,5.8,In Progress,SUP005
WO20250820186,PRINTER_HP432,Printer Hp Compatible Cartridge 432,2025-09-02,1635,High,WC010,21.6,Scheduled,SUP002
WO20250820187,PRINTER_LX171,Printer Lx Compatible Cartridge 171,2025-09-18,665,Normal,WC010,37.1,In Progress,SUP003
WO20250820188,PRINTER_HP994,Printer Hp Compatible Cartridge 994,2025-08-22,683,Normal,WC006,24.2,In Progress,SUP004
WO20250820189,PRINTER_HP675,Printer Hp Compatible Cartridge 675,2025-08-24,460,Normal,WC005,17.5,In Progress,SUP002
WO20250820190,PRINTER_CN448,Printer Cn Compatible Cartridge 448,2025-08-22,1533,Normal,WC003,34.1,Completed,SUP001
WO20250820191,PRINTER_BR164,Printer Br Compatible Cartridge 164,2025-08-31,254,Urgent,WC009,34.2,In Progress,SUP004
WO20250820192,PRINTER_BR852,Printer Br Compatible Cartridge 852,2025-09-03,1496,Normal,WC002,21.1,Completed,SUP002
WO20250820193,PRINTER_BR792,Printer Br Compatible Cartridge 792,2025-08-30,1889,High,WC007,30.3,Cancelled,SUP001
WO20250820194,PRINTER_EP501,Printer Ep Compatible Cartridge 501,2025-09-10,1566,Low,WC004,43.0,In Progress,SUP002
WO20250820195,PRINTER_EP371,Printer Ep Compatible Cartridge 371,2025-08-30,1076,Low,WC010,30.4,On Hold,SUP001
WO20250820196,PRINTER_CN142,Printer Cn Compatible Cartridge 142,2025-09-04,434,Low,WC004,17.3,Scheduled,SUP003
WO20250820197,PRINTER_BR670,Printer Br Compatible Cartridge 670,2025-08-25,921,Normal,WC005,17.7,On Hold,SUP001
WO20250820198,PRINTER_EP982,Printer Ep Compatible Cartridge 982,2025-09-19,913,Normal,WC003,21.5,Cancelled,SUP001
WO20250820199,PRINTER_BR826,Printer Br Compatible Cartridge 826,2025-08-22,759,Low,WC007,39.4,Scheduled,SUP002
WO20250820200,PRINTER_EP132,Printer Ep Compatible Cartridge 132,2025-09-07,1088,Urgent,WC008,4.5,On Hold,SUP004
WO20250820201,PRINTER_HP311,Printer Hp Compatible Cartridge 311,2025-09-02,579,Low,WC010,39.5,On Hold,SUP005
WO20250820202,PRINTER_EP800,Printer Ep Compatible Cartridge 800,2025-09-04,1508,High,WC009,46.8,Scheduled,SUP002
WO20250820203,PRINTER_BR545,Printer Br Compatible Cartridge 545,2025-09-13,835,Low,WC003,4.3,Cancelled,SUP003
WO20250820204,PRINTER_CN528,Printer Cn Compatible Cartridge 528,2025-09-15,1308,Urgent,WC007,6.1,Completed,SUP001
WO20250820205,PRINTER_HP889,Printer Hp Compatible Cartridge 889,2025-09-04,992,High,WC001,43.1,Completed,SUP003
WO20250820206,PRINTER_BR346,Printer Br Compatible Cartridge 346,2025-09-10,656,Low,WC009,15.8,Completed,SUP003
WO20250820207,PRINTER_BR018,Printer Br Compatible Cartridge 018,2025-09-03,714,High,WC001,30.2,Completed,SUP001
WO20250820208,PRINTER_LX757,Printer Lx Compatible Cartridge 757,2025-09-01,559,Normal,WC002,27.5,In Progress,SUP002
WO20250820209,PRINTER_BR442,Printer Br Compatible Cartridge 442,2025-09-17,612,High,WC008,34.3,In Progress,SUP005
